gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
female,group B,some college,standard,none,58,66,65
female,group C,some college,standard,none,77,88,86
female,group D,master's degree,standard,none,82,89,93
male,group D,bachelor's degree,free/reduced,none,60,59,53
male,group B,some college,standard,completed,76,70,70
male,group C,associate's degree,standard,none,66,69,65
female,group E,some college,standard,completed,85,86,85
female,group D,some college,standard,none,71,83,83
female,group B,associate's degree,standard,none,61,71,73
female,group E,some high school,standard,completed,80,85,82
female,group E,some college,standard,none,76,80,77
female,group D,associate's degree,standard,none,74,80,82
female,group C,bachelor's degree,standard,none,59,67,72
female,group D,associate's degree,free/reduced,completed,55,77,76
female,group B,some college,standard,none,77,85,84
female,group D,master's degree,standard,none,72,74,78
male,group D,high school,free/reduced,completed,64,64,67
female,group A,some high school,free/reduced,none,50,58,54
male,group D,associate's degree,standard,none,55,58,54
female,group C,some high school,standard,none,69,78,75
male,group B,associate's degree,free/reduced,none,68,69,66
female,group C,associate's degree,standard,none,69,75,78
female,group B,some college,free/reduced,completed,65,75,70
female,group E,bachelor's degree,standard,none,81,75,75
male,group D,master's degree,free/reduced,completed,69,74,74
male,group D,some high school,standard,none,55,59,56
male,group B,some college,standard,none,71,74,68
male,group D,associate's degree,standard,none,68,72,69
female,group E,master's degree,standard,none,50,53,58
female,group E,master's degree,standard,none,50,53,58
male,group C,bachelor's degree,standard,none,67,61,61
male,group C,bachelor's degree,standard,none,68,68,66
male,group A,associate's degree,free/reduced,none,48,45,44
female,group C,some high school,standard,none,69,82,74
male,group C,some high school,standard,none,69,69,67
male,group D,associate's degree,standard,completed,74,74,72
male,group E,some high school,free/reduced,none,50,55,53
female,group E,high school,standard,none,53,58,59
male,group D,associate's degree,standard,none,68,72,69
female,group C,high school,standard,none,65,66,62
male,group D,associate's degree,standard,none,55,58,54
female,group C,some college,standard,completed,79,84,87
female,group C,bachelor's degree,standard,completed,62,75,70
male,group D,some college,standard,none,44,54,53
female,group C,associate's degree,standard,none,69,77,75
male,group D,high school,standard,none,64,61,58
female,group B,associate's degree,standard,none,71,83,78
female,group F,master's degree,standard,none,62,70,75
male,group C,some high school,standard,none,51,46,47
male,group C,high school,standard,none,88,89,86
male,group D,high school,free/reduced,none,64,61,58
male,group C,high school,standard,none,60,56,53
female,group D,bachelor's degree,standard,none,69,79,74
female,group E,bachelor's degree,standard,none,81,75,75
female,group D,associate's degree,standard,none,81,83,85
female,group C,some college,standard,none,72,75,78
female,group C,high school,standard,none,76,84,83
male,group D,associate's degree,standard,none,68,69,69
female,group C,bachelor's degree,standard,completed,82,83,83
female,group D,some college,standard,none,67,69,75
female,group E,associate's degree,standard,none,81,75,76
female,group C,associate's degree,standard,none,58,67,64
