iter	RMSE
0	8.845114692
1	8.234105083
2	7.696283774
3	7.200053603
4	6.732588464
5	6.35848693
6	5.974537161
7	5.605469157
8	5.286644521
9	5.014041923
10	4.77252408
11	4.5415483
12	4.343413648
13	4.150017106
14	3.98087583
15	3.828456853
16	3.685098356
17	3.543611894
18	3.440726062
19	3.334574508
20	3.237635086
21	3.145703033
22	3.074038318
23	3.008106963
24	2.947751242
25	2.876960546
26	2.823220861
27	2.771357211
28	2.719490699
29	2.67753877
30	2.635709032
31	2.602244167
32	2.554828244
33	2.524754579
34	2.475499852
35	2.427027678
36	2.394511724
37	2.369650369
38	2.338487719
39	2.29276502
40	2.27001097
41	2.252108334
42	2.229561077
43	2.19953299
44	2.163565803
45	2.127851917
46	2.088609008
47	2.067657174
48	2.044972513
49	2.014360489
50	1.992315458
51	1.964008599
52	1.942111706
53	1.920363918
54	1.901012345
55	1.888484782
56	1.869386289
57	1.838678767
58	1.814954041
59	1.798622933
60	1.779381781
61	1.777061883
62	1.757102142
63	1.746870047
64	1.734972438
65	1.717662798
66	1.705466619
67	1.694763817
68	1.680399973
69	1.663402181
70	1.645822547
71	1.632074378
72	1.6173626
73	1.604796351
74	1.581127162
75	1.564470233
76	1.549332855
77	1.531573725
78	1.526134678
79	1.515209893
80	1.500332962
81	1.485352883
82	1.464225051
83	1.45021955
84	1.437201267
85	1.418799249
86	1.407528012
87	1.405414338
88	1.398168657
89	1.384365856
90	1.376812276
91	1.362850129
92	1.345819254
93	1.333869481
94	1.325666893
95	1.313605784
96	1.302663302
97	1.296237115
98	1.291275805
99	1.280634505
100	1.268922168
101	1.264482214
102	1.254375051
103	1.24829904
104	1.243272629
105	1.229131274
106	1.21642857
107	1.206794754
108	1.199779871
109	1.190682003
110	1.180138327
111	1.171800837
112	1.166225121
113	1.151484426
114	1.144083706
115	1.139037022
116	1.129037749
117	1.123087372
118	1.117739899
119	1.113077723
120	1.104396298
121	1.094647772
122	1.087805283
123	1.081588482
124	1.073196301
125	1.064025629
126	1.061019586
127	1.051248839
128	1.046278566
129	1.040858544
130	1.03275863
131	1.025974879
132	1.016778814
133	1.00901102
134	1.003930103
135	0.9980574787
136	0.9881484374
137	0.985080909
138	0.9786881124
139	0.9745313902
140	0.9684791793
