iter	Passed	Remaining
0	132	132676
1	134	67104
2	135	45184
3	137	34205
4	138	27612
5	140	23219
6	141	20081
7	142	17729
8	144	15894
9	145	14449
10	147	13250
11	148	12249
12	150	11403
13	151	10679
14	153	10048
15	154	9496
16	155	9013
17	157	8583
18	158	8193
19	160	7850
20	161	7538
21	163	7252
22	164	6988
23	165	6748
24	167	6531
25	168	6328
26	170	6138
27	171	5962
28	173	5800
29	174	5652
30	176	5510
31	177	5380
32	179	5258
33	181	5142
34	182	5032
35	184	4929
36	185	4832
37	187	4736
38	188	4647
39	190	4568
40	191	4485
41	192	4401
42	194	4333
43	196	4263
44	197	4195
45	199	4130
46	200	4071
47	202	4012
48	203	3953
49	205	3897
50	206	3844
51	207	3791
52	209	3741
53	210	3693
54	212	3647
55	213	3601
56	214	3556
57	216	3515
58	218	3477
59	219	3438
60	220	3400
61	222	3364
62	223	3329
63	225	3293
64	227	3268
65	228	3236
66	230	3204
67	231	3174
68	233	3147
69	234	3118
70	236	3089
71	237	3062
72	239	3037
73	240	3011
74	242	2985
75	243	2960
76	244	2936
77	246	2912
78	247	2887
79	249	2865
80	250	2842
81	251	2820
82	253	2798
83	254	2777
84	256	2757
85	257	2736
86	258	2717
87	260	2699
88	261	2681
89	263	2662
90	264	2644
91	266	2626
92	267	2609
93	268	2592
94	270	2575
95	271	2558
96	273	2542
97	274	2528
98	276	2513
99	277	2498
100	278	2483
101	280	2468
102	281	2453
103	283	2439
104	284	2425
105	285	2411
106	287	2397
107	288	2384
108	290	2372
109	291	2359
110	292	2345
111	294	2333
112	295	2321
113	297	2309
114	298	2297
115	299	2285
116	301	2273
117	302	2263
118	304	2253
119	305	2243
120	307	2233
121	309	2224
122	310	2216
123	312	2208
124	314	2199
125	315	2189
126	317	2180
127	318	2170
128	320	2160
129	321	2151
130	322	2142
131	324	2132
132	325	2123
133	327	2114
134	328	2105
135	330	2096
136	331	2087
137	332	2079
138	334	2070
139	335	2062
140	337	2054
141	338	2045
142	339	2037
143	341	2029
144	342	2021
145	344	2013
146	345	2005
147	347	1998
148	348	1990
149	349	1983
150	351	1975
151	352	1967
152	354	1960
153	355	1953
154	356	1945
155	358	1939
156	359	1932
157	361	1926
158	362	1919
159	364	1912
160	365	1905
161	367	1898
162	368	1892
163	369	1885
164	371	1879
165	372	1872
166	374	1867
167	375	1860
168	377	1854
169	378	1848
170	380	1843
171	381	1837
172	383	1831
173	384	1825
174	386	1819
175	387	1814
