iter	RMSE
0	9.226188158
1	8.955762024
2	8.666165261
3	8.411599585
4	8.154286629
5	7.937899126
6	7.719904715
7	7.501953435
8	7.280832007
9	7.063435521
10	6.86728539
11	6.704499144
12	6.531214956
13	6.349748204
14	6.192223498
15	6.03872053
16	5.878271074
17	5.747596746
18	5.617112958
19	5.502127168
20	5.387803414
21	5.278215159
22	5.177320564
23	5.067920219
24	4.9689249
25	4.881029054
26	4.795575923
27	4.710149583
28	4.622511209
29	4.538349808
30	4.456602301
31	4.381904604
32	4.316806255
33	4.250125046
34	4.194885341
35	4.134694612
36	4.081288897
37	4.021696273
38	3.971019756
39	3.926602267
40	3.876765808
41	3.83811195
42	3.80094526
43	3.754080112
44	3.713802468
45	3.678023325
46	3.628653582
47	3.590818683
48	3.556168775
49	3.524099257
50	3.492249067
51	3.456030205
52	3.4338064
53	3.404966164
54	3.384232001
55	3.358416694
56	3.333768521
57	3.309589887
58	3.286445953
59	3.258419911
60	3.233280264
61	3.212803862
62	3.19457019
63	3.180759952
64	3.154154942
65	3.139958819
66	3.118867848
67	3.097683841
68	3.076239925
69	3.053505129
70	3.039439013
71	3.022878646
72	3.008675766
73	2.987529468
74	2.971033816
75	2.957267453
76	2.942474122
77	2.930172862
78	2.921087931
79	2.911152937
80	2.891934002
81	2.877524565
82	2.862545092
83	2.854183691
84	2.840216804
85	2.828996659
86	2.813006044
87	2.798331141
88	2.780202413
89	2.773366189
90	2.764360186
91	2.756997759
92	2.748678843
93	2.728154827
94	2.716900706
95	2.707711072
96	2.700401137
97	2.694079571
98	2.68856063
99	2.682755753
100	2.670714933
101	2.661167686
102	2.653780514
103	2.636636022
104	2.630712822
105	2.614423984
106	2.597792284
107	2.588021719
108	2.577823219
109	2.570140034
110	2.556448759
111	2.544811743
112	2.528107734
113	2.521276642
114	2.512950119
115	2.501445274
116	2.491411583
117	2.48385148
118	2.473099378
119	2.466550563
120	2.451835289
121	2.444426968
122	2.431737633
123	2.419292979
124	2.413489
125	2.407269476
126	2.397784488
127	2.389878521
128	2.377700785
129	2.3658994
130	2.357903932
131	2.350788169
132	2.347295095
133	2.337849399
134	2.325443476
135	2.316680882
136	2.308143388
137	2.300262058
138	2.291246535
139	2.282853151
140	2.27522256
141	2.266995801
142	2.263068559
143	2.251660075
144	2.246123121
145	2.23656057
146	2.233215266
147	2.222164628
148	2.214630967
149	2.20591966
150	2.198296471
151	2.192795584
152	2.188922945
153	2.185262257
154	2.179519972
155	2.174433969
156	2.169505155
157	2.15964795
158	2.154113221
159	2.145974332
160	2.141935877
161	2.132164446
162	2.123928407
163	2.11805798
164	2.112878601
165	2.105807433
166	2.097977302
167	2.092628962
168	2.084691266
169	2.076399031
170	2.070032989
171	2.066996567
172	2.06126675
173	2.055657554
174	2.05058187
175	2.042841485
176	2.035072142
