iter	Passed	Remaining
0	154	154697
1	157	78775
2	159	53006
3	160	40088
4	162	32372
5	164	27193
6	165	23507
7	167	20746
8	168	18595
9	170	16869
10	172	15466
11	173	14299
12	175	13312
13	177	12483
14	178	11738
15	180	11081
16	182	10535
17	183	10024
18	185	9564
19	186	9153
20	188	8779
21	189	8435
22	191	8122
23	193	7863
24	195	7609
25	196	7369
26	199	7195
27	201	6987
28	203	6808
29	204	6627
30	206	6458
31	209	6334
32	210	6180
33	212	6033
34	215	5928
35	216	5799
36	218	5676
37	220	5572
38	221	5462
39	223	5359
40	225	5285
41	227	5193
42	230	5124
43	231	5035
44	233	4949
45	235	4877
46	237	4812
47	238	4736
48	240	4677
49	242	4606
50	243	4537
51	245	4480
52	247	4418
53	248	4358
54	251	4327
55	253	4278
56	255	4222
57	257	4180
58	258	4129
59	260	4078
60	262	4033
61	263	3988
62	265	3943
63	266	3897
64	268	3857
65	269	3815
66	271	3773
67	272	3734
68	274	3699
69	275	3661
70	277	3624
71	278	3595
72	280	3561
73	281	3528
74	283	3498
75	285	3466
76	286	3434
77	287	3403
78	289	3374
79	291	3347
80	292	3318
81	294	3291
82	295	3265
83	296	3238
84	298	3212
85	299	3186
86	301	3163
87	303	3140
88	304	3116
89	306	3094
90	307	3072
91	309	3053
92	311	3034
93	312	3013
94	314	2991
95	315	2970
96	317	2951
97	318	2931
98	319	2912
99	321	2893
100	323	2877
101	324	2859
102	326	2840
103	328	2826
104	329	2808
105	331	2792
106	332	2777
107	334	2761
108	335	2745
109	337	2729
110	338	2714
111	340	2698
112	341	2684
113	343	2669
114	345	2655
115	346	2641
116	348	2626
117	349	2614
118	351	2602
119	353	2588
120	354	2577
121	356	2565
122	357	2551
123	359	2538
124	361	2527
125	362	2515
126	364	2502
127	365	2491
128	367	2481
129	369	2469
130	370	2457
131	372	2446
132	373	2434
133	375	2423
134	376	2412
135	378	2402
136	379	2392
137	381	2381
138	382	2372
139	384	2362
140	386	2351
141	387	2342
142	389	2334
143	391	2325
144	392	2316
145	394	2308
146	396	2299
147	397	2290
148	399	2281
149	401	2272
150	402	2263
151	404	2255
152	405	2246
153	407	2240
154	409	2232
155	411	2223
156	412	2215
